datetime,co2,par,temp
2021-07-13 09:38:33,568.7,1825.81,308.9
2021-07-13 09:38:34,563.06,1825.81,308.9
2021-07-13 09:38:35,577.79,1831.45,308.9
2021-07-13 09:38:36,566.15,1838.92,308.9
2021-07-13 09:38:37,390.96,1843.14,308.9
2021-07-13 09:38:38,393.74,1843.14,308.9
2021-07-13 09:38:39,400.89,1846.94,308.9
2021-07-13 09:38:40,401.17,1853.28,308.9
2021-07-13 09:38:41,404.49,1853.28,309.15
2021-07-13 09:38:42,403.52,1852.36,309.15
2021-07-13 09:38:43,404.92,1862.4,309.15
2021-07-13 09:38:44,403.44,1866.27,309.15
2021-07-13 09:38:45,401.2,1866.27,309.15
2021-07-13 09:38:46,400.84,1867.82,309.15
2021-07-13 09:38:47,401.38,1872.08,309.15
2021-07-13 09:38:48,401.99,1871.25,309.15
2021-07-13 09:38:49,403.1,1871.25,309.15
2021-07-13 09:38:50,401.53,1868.98,309.15
2021-07-13 09:38:51,405.34,1869.5,309.15
2021-07-13 09:38:52,403.06,1869.5,309.15
2021-07-13 09:38:53,400.93,1699.95,309.15
2021-07-13 09:38:54,399.97,1700.25,309.15
2021-07-13 09:38:55,397.23,1697.69,309.15
2021-07-13 09:38:56,387.98,1697.69,309.15
2021-07-13 09:38:57,384.28,1701.79,309.4
2021-07-13 09:38:58,385.14,1703.01,309.4
2021-07-13 09:38:59,385.79,1703.01,309.4
2021-07-13 09:39:00,388.39,1706.51,309.4
2021-07-13 09:39:01,392.37,1706.72,309.4
2021-07-13 09:39:02,396.89,1709.05,309.4
2021-07-13 09:39:03,398.67,1709.05,309.4
2021-07-13 09:39:04,400.17,1711.34,309.4
2021-07-13 09:39:05,400.84,1710.8,309.4
2021-07-13 09:39:06,400.61,1708.28,309.4
2021-07-13 09:39:07,404.25,1708.28,309.4
2021-07-13 09:39:08,403.79,1708.98,309.4
2021-07-13 09:39:09,405.44,1707.13,309.4
2021-07-13 09:39:10,408.51,1707.13,309.4
2021-07-13 09:39:11,410.99,1709.58,309.4
2021-07-13 09:39:12,408.58,1713.63,309.4
2021-07-13 09:39:13,408.91,1715.56,309.65
2021-07-13 09:39:14,412.43,1715.56,309.65
2021-07-13 09:39:15,411.76,1717.32,309.65
2021-07-13 09:39:16,409.35,1718.06,309.65
2021-07-13 09:39:17,406.7,1718.06,309.65
2021-07-13 09:39:18,406.43,1716.78,309.65
2021-07-13 09:39:19,409.86,1716.79,309.65
2021-07-13 09:39:20,409.07,1715.33,309.65
2021-07-13 09:39:21,407.81,1715.33,309.65
2021-07-13 09:39:22,408.24,1715.93,309.65
2021-07-13 09:39:23,407.45,1716.52,309.65
2021-07-13 09:39:24,409.08,1714.92,309.65
2021-07-13 09:39:25,408.89,1714.92,309.65
2021-07-13 09:39:26,403.73,1714.94,309.65
2021-07-13 09:39:27,404.5,1714.98,309.65
2021-07-13 09:39:28,404.01,1714.98,309.9
2021-07-13 09:39:29,403.16,1712.7,309.9
2021-07-13 09:39:30,405.26,1714.93,309.9
2021-07-13 09:39:31,399.21,1715.04,309.9
2021-07-13 09:39:32,398.34,1715.04,309.9
2021-07-13 09:39:33,398.13,1715.54,309.9
2021-07-13 09:39:34,400.48,1715.97,309.9
2021-07-13 09:39:35,400.57,1715.97,309.9
2021-07-13 09:39:36,400.62,1716.65,309.9
2021-07-13 09:39:37,399.84,1717.97,309.9
2021-07-13 09:39:38,392.58,1714.35,309.9
2021-07-13 09:39:39,394.16,1714.35,309.9
2021-07-13 09:39:40,397.95,1716.13,309.9
2021-07-13 09:39:41,397.26,1717.81,309.9
2021-07-13 09:39:42,391.8,1717.81,310.15
2021-07-13 09:39:43,391.28,1722.28,310.15
2021-07-13 09:39:44,394.55,1725.73,310.15
2021-07-13 09:39:45,388.3,1725.47,310.15
2021-07-13 09:39:46,389.91,1725.47,310.15
2021-07-13 09:39:47,389.34,1725.47,310.15
2021-07-13 09:39:48,384.59,1725.7,310.15
2021-07-13 09:39:49,384.6,1727.98,310.15
2021-07-13 09:39:50,381.6,1727.98,310.15
2021-07-13 09:39:51,382.87,1724.91,310.15
2021-07-13 09:39:52,381.33,1724.62,310.15
2021-07-13 09:39:53,377.56,1724.62,310.15
2021-07-13 09:39:54,375.84,1727.22,310.15
2021-07-13 09:39:55,382.16,1726.99,310.4
2021-07-13 09:39:56,381.38,1727.54,310.4
2021-07-13 09:39:57,377.5,1727.54,310.4
2021-07-13 09:39:58,373.2,1727.13,310.4
2021-07-13 09:39:59,375.43,1725.98,310.4
2021-07-13 09:40:00,380.2,1724.46,310.4
2021-07-13 09:40:01,376.64,1724.46,310.4
2021-07-13 09:40:02,374.36,1723.27,310.4
2021-07-13 09:40:03,376.69,1725.17,310.4
2021-07-13 09:40:04,377.96,1725.17,310.4
2021-07-13 09:40:05,376.94,1725.13,310.4
2021-07-13 09:40:06,372.17,1729.63,310.4
2021-07-13 09:40:07,376.85,1725.69,310.4
2021-07-13 09:40:08,367.41,1725.69,310.4
2021-07-13 09:40:09,369.83,1726.09,310.65
2021-07-13 09:40:10,366.12,1733.8,310.65
2021-07-13 09:40:11,368.32,1733.8,310.65
2021-07-13 09:40:12,370.55,1729.11,310.65
2021-07-13 09:40:13,367.74,1729.49,310.65
2021-07-13 09:40:14,367.35,1727.78,310.65
2021-07-13 09:40:15,364.94,1727.78,310.65
2021-07-13 09:40:16,364.58,1725.73,310.65
2021-07-13 09:40:17,367.06,1728.57,310.65
2021-07-13 09:40:18,363.38,1728.57,310.65
2021-07-13 09:40:19,360.15,1727.54,310.65
2021-07-13 09:40:20,363.52,1726.13,310.65
2021-07-13 09:40:21,362.74,1725.19,310.65
2021-07-13 09:40:22,359.09,1725.19,310.65
2021-07-13 09:40:23,367.66,1722.87,310.9
2021-07-13 09:40:24,357.91,1724.02,310.9
2021-07-13 09:40:25,357.42,1723.48,310.9
2021-07-13 09:40:26,356.76,1723.48,310.9
2021-07-13 09:40:27,359.62,1723.81,310.9
2021-07-13 09:40:28,361.32,1723.72,310.9
2021-07-13 09:40:29,357.33,1723.72,310.9
2021-07-13 09:40:30,358.67,1723.24,310.9
2021-07-13 09:40:31,353.11,1722.49,310.9
2021-07-13 09:40:32,353.59,1722.5,310.9
2021-07-13 09:40:33,357.33,1722.5,310.9
2021-07-13 09:40:34,353.46,1722.54,310.9
2021-07-13 09:40:35,357.21,1723.26,311.15
2021-07-13 09:40:36,353.45,1723.26,311.15
2021-07-13 09:40:37,354.33,1722.85,311.15
2021-07-13 09:40:38,352.19,1723.13,311.15
2021-07-13 09:40:39,351.97,1722.81,311.15
2021-07-13 09:40:40,353.5,1722.81,311.15
