datetime,co2,par,temp
2021-06-11 05:52:07,412.75,432.53,
2021-06-11 05:52:08,440.45,431.98,
2021-06-11 05:52:09,501.33,431.98,
2021-06-11 05:52:10,484.63,431.38,
2021-06-11 05:52:11,339.69,430.59,
2021-06-11 05:52:12,353.2,431.56,
2021-06-11 05:52:13,360.92,431.56,
2021-06-11 05:52:14,363.58,439.67,
2021-06-11 05:52:15,364.9,432.42,
2021-06-11 05:52:16,366.06,432.42,
2021-06-11 05:52:17,365.61,428.3,
2021-06-11 05:52:18,365.96,428.86,
2021-06-11 05:52:19,366.18,428.86,
2021-06-11 05:52:20,366.51,445.07,
2021-06-11 05:52:21,366.58,517.13,
2021-06-11 05:52:22,367.27,535.07,
2021-06-11 05:52:23,368.15,535.07,
2021-06-11 05:52:24,368.25,458.93,
2021-06-11 05:52:25,368.7,494.21,
2021-06-11 05:52:26,369.18,494.21,
2021-06-11 05:52:27,369.14,765.8,
2021-06-11 05:52:28,370.17,1027.36,
2021-06-11 05:52:29,370.53,820.15,
2021-06-11 05:52:30,370.89,820.15,
2021-06-11 05:52:31,371.9,1102.09,
2021-06-11 05:52:32,374.22,1088.74,
2021-06-11 05:52:33,375.18,1088.74,
2021-06-11 05:52:34,374.91,1089.86,
2021-06-11 05:52:35,373.95,1090.11,
2021-06-11 05:52:36,373.5,1090.11,
2021-06-11 05:52:37,374.41,1094.39,
2021-06-11 05:52:38,375.23,1096.03,
2021-06-11 05:52:39,374.69,1096.03,
2021-06-11 05:52:40,375.05,1092.27,
2021-06-11 05:52:41,374.25,1094.31,
2021-06-11 05:52:42,374.87,1095.79,
2021-06-11 05:52:43,373.13,1095.79,
2021-06-11 05:52:44,375.43,1095.66,
2021-06-11 05:52:45,374.29,1095.61,
2021-06-11 05:52:46,373.35,1095.61,
2021-06-11 05:52:47,373.27,1096.28,
2021-06-11 05:52:48,373.37,1095.66,
2021-06-11 05:52:49,372.39,1095.66,
2021-06-11 05:52:50,372.55,1095.75,
2021-06-11 05:52:51,372.12,1096.41,
2021-06-11 05:52:52,371.77,1095.58,
2021-06-11 05:52:53,370.66,1095.58,
2021-06-11 05:52:54,371.16,1096.14,
2021-06-11 05:52:55,371.23,1096.0,
2021-06-11 05:52:56,369.58,1096.0,
2021-06-11 05:52:57,369.49,1095.74,
2021-06-11 05:52:58,370.55,1096.43,
2021-06-11 05:52:59,369.03,1096.43,
2021-06-11 05:53:00,368.69,1096.24,
2021-06-11 05:53:01,368.48,1096.41,
2021-06-11 05:53:02,369.13,1097.0,
2021-06-11 05:53:03,368.43,1097.0,
2021-06-11 05:53:04,368.15,1096.73,
2021-06-11 05:53:05,367.99,1097.28,
2021-06-11 05:53:06,367.23,1097.28,
2021-06-11 05:53:07,366.99,1096.94,
2021-06-11 05:53:08,366.57,1096.45,
2021-06-11 05:53:09,366.88,1096.45,
2021-06-11 05:53:10,366.38,1096.49,
2021-06-11 05:53:11,365.56,1096.57,
2021-06-11 05:53:12,365.95,1097.44,
2021-06-11 05:53:13,365.17,1097.44,
2021-06-11 05:53:14,364.48,1096.96,
2021-06-11 05:53:15,364.56,1096.73,
2021-06-11 05:53:16,363.44,1096.73,
2021-06-11 05:53:17,364.06,1097.32,
2021-06-11 05:53:18,363.58,1096.85,
2021-06-11 05:53:19,362.66,1097.19,
2021-06-11 05:53:20,362.43,1097.19,
2021-06-11 05:53:21,362.0,1097.95,
2021-06-11 05:53:22,363.43,1096.89,
2021-06-11 05:53:23,362.46,1096.89,
2021-06-11 05:53:24,361.01,1097.4,
2021-06-11 05:53:25,361.22,1098.24,
2021-06-11 05:53:26,361.0,1098.24,
2021-06-11 05:53:27,359.84,1098.52,
2021-06-11 05:53:28,359.97,1097.96,
2021-06-11 05:53:29,359.93,1098.07,
2021-06-11 05:53:30,359.04,1098.07,
2021-06-11 05:53:31,358.73,1097.64,
2021-06-11 05:53:32,358.11,1098.26,
2021-06-11 05:53:33,358.4,1098.26,
2021-06-11 05:53:34,357.35,1098.25,
2021-06-11 05:53:35,358.37,1098.17,
2021-06-11 05:53:36,357.46,1098.17,
2021-06-11 05:53:37,356.93,1098.04,
2021-06-11 05:53:38,356.32,1098.67,
2021-06-11 05:53:39,356.98,1098.67,
2021-06-11 05:53:40,356.23,1098.9,
2021-06-11 05:53:41,355.79,1098.14,
2021-06-11 05:53:42,354.63,1099.58,
2021-06-11 05:53:43,355.12,1099.58,
2021-06-11 05:53:44,355.31,1099.07,
2021-06-11 05:53:45,353.59,1099.96,
2021-06-11 05:53:46,353.95,1099.96,
2021-06-11 05:53:47,354.08,1099.45,
2021-06-11 05:53:48,353.91,1100.07,
