datetime,co2,par,temp
2021-06-10 06:18:30,487.78,818.56,
2021-06-10 06:18:31,495.23,783.91,
2021-06-10 06:18:32,520.43,794.0,
2021-06-10 06:18:33,571.46,743.91,
2021-06-10 06:18:34,409.65,743.91,
2021-06-10 06:18:35,382.81,728.23,
2021-06-10 06:18:36,395.56,731.45,
2021-06-10 06:18:37,397.9,731.45,
2021-06-10 06:18:38,399.2,731.51,
2021-06-10 06:18:39,398.43,732.53,
2021-06-10 06:18:40,397.68,735.79,
2021-06-10 06:18:41,396.43,735.79,
2021-06-10 06:18:42,396.57,731.61,
2021-06-10 06:18:43,397.08,739.72,
2021-06-10 06:18:44,396.77,739.11,
2021-06-10 06:18:45,395.97,739.11,
2021-06-10 06:18:46,395.75,738.49,
2021-06-10 06:18:47,396.42,739.27,
2021-06-10 06:18:48,396.48,739.27,
2021-06-10 06:18:49,396.26,739.86,
2021-06-10 06:18:50,396.83,740.67,
2021-06-10 06:18:51,397.59,738.62,
2021-06-10 06:18:52,397.52,738.62,
2021-06-10 06:18:53,397.13,823.99,
2021-06-10 06:18:54,397.73,1139.49,
2021-06-10 06:18:55,398.46,1139.49,
2021-06-10 06:18:56,398.16,1141.61,
2021-06-10 06:18:57,397.46,1141.95,
2021-06-10 06:18:58,396.96,1141.09,
2021-06-10 06:18:59,397.23,1141.09,
2021-06-10 06:19:00,396.84,1145.47,
2021-06-10 06:19:01,396.68,1145.04,
2021-06-10 06:19:03,396.17,1145.04,
2021-06-10 06:19:03,395.97,1144.21,
2021-06-10 06:19:04,396.24,1143.85,
2021-06-10 06:19:05,396.4,1144.52,
2021-06-10 06:19:06,396.06,1144.52,
2021-06-10 06:19:07,395.41,1144.64,
2021-06-10 06:19:08,395.4,1143.98,
2021-06-10 06:19:09,395.59,1144.38,
2021-06-10 06:19:10,394.84,1144.38,
2021-06-10 06:19:11,395.04,1144.72,
2021-06-10 06:19:12,394.24,1144.4,
2021-06-10 06:19:13,394.87,1144.4,
2021-06-10 06:19:14,394.47,1145.1,
2021-06-10 06:19:15,394.38,1144.69,
