datetime,co2,par,temp
2021-07-26 06:01:57,485.86,349.09,
2021-07-26 06:01:58,485.65,334.18,
2021-07-26 06:01:59,530.57,334.18,
2021-07-26 06:02:00,490.38,343.15,
2021-07-26 06:02:01,355.27,355.68,
2021-07-26 06:02:02,374.4,401.41,
2021-07-26 06:02:03,380.89,401.41,
2021-07-26 06:02:04,382.79,417.14,
2021-07-26 06:02:05,382.75,535.82,
2021-07-26 06:02:06,383.81,535.82,
2021-07-26 06:02:07,384.01,625.39,
2021-07-26 06:02:08,384.02,730.55,
2021-07-26 06:02:09,384.02,924.73,
2021-07-26 06:02:10,384.19,924.73,
2021-07-26 06:02:11,384.21,924.89,
2021-07-26 06:02:12,384.64,924.88,
2021-07-26 06:02:13,384.35,924.88,
2021-07-26 06:02:14,384.82,900.94,
2021-07-26 06:02:15,384.75,886.41,
2021-07-26 06:02:16,385.05,269.66,
2021-07-26 06:02:17,384.52,269.66,
2021-07-26 06:02:18,383.39,273.18,
2021-07-26 06:02:19,383.7,275.74,
2021-07-26 06:02:20,383.56,275.66,
2021-07-26 06:02:21,382.97,275.66,
2021-07-26 06:02:22,383.23,277.35,
2021-07-26 06:02:23,383.15,276.69,
2021-07-26 06:02:24,383.07,276.69,
2021-07-26 06:02:25,382.23,279.62,
2021-07-26 06:02:26,382.76,280.43,
2021-07-26 06:02:27,382.66,273.61,
2021-07-26 06:02:28,382.22,273.61,
2021-07-26 06:02:29,382.4,280.8,
2021-07-26 06:02:30,382.15,283.44,300.53
2021-07-26 06:02:31,382.47,283.44,300.53
2021-07-26 06:02:32,381.74,283.09,300.53
2021-07-26 06:02:33,381.77,283.25,300.53
2021-07-26 06:02:34,382.0,281.76,300.53
2021-07-26 06:02:35,381.77,281.76,300.53
2021-07-26 06:02:36,381.27,276.25,300.53
2021-07-26 06:02:37,381.57,274.03,300.53
2021-07-26 06:02:38,381.63,271.65,300.53
2021-07-26 06:02:39,380.94,271.65,
2021-07-26 06:02:40,380.51,270.14,
2021-07-26 06:02:41,381.33,268.32,
2021-07-26 06:02:42,380.25,268.32,
2021-07-26 06:02:43,380.53,267.21,
2021-07-26 06:02:44,380.48,266.7,
2021-07-26 06:02:45,380.42,267.13,
2021-07-26 06:02:46,380.07,267.13,
2021-07-26 06:02:47,379.65,269.69,
2021-07-26 06:02:48,379.58,270.44,
2021-07-26 06:02:49,379.44,270.44,
2021-07-26 06:02:50,379.48,270.79,
2021-07-26 06:02:51,379.13,272.66,
2021-07-26 06:02:52,378.91,281.09,
2021-07-26 06:02:53,379.0,281.09,
2021-07-26 06:02:54,378.68,276.65,
2021-07-26 06:02:55,379.37,276.41,
