datetime,co2,par,temp
2021-05-28 06:18:48,383.04,740.78,
2021-05-28 06:18:49,384.01,740.78,
2021-05-28 06:18:50,404.58,758.63,
2021-05-28 06:18:51,417.68,758.64,
2021-05-28 06:18:52,413.99,758.64,
2021-05-28 06:18:53,435.52,758.09,
2021-05-28 06:18:54,428.44,764.64,
2021-05-28 06:18:55,426.58,762.93,
2021-05-28 06:18:56,432.28,762.93,
2021-05-28 06:18:57,423.38,754.76,
2021-05-28 06:18:58,413.29,756.0,
2021-05-28 06:19:00,433.99,746.57,
2021-05-28 06:19:00,427.16,746.57,
2021-05-28 06:19:01,407.03,752.42,
2021-05-28 06:19:02,411.41,732.23,
2021-05-28 06:19:03,427.67,732.23,
2021-05-28 06:19:04,425.51,733.04,
2021-05-28 06:19:05,410.69,732.41,
2021-05-28 06:19:06,412.74,732.41,
2021-05-28 06:19:07,413.67,733.85,
2021-05-28 06:19:08,412.8,747.49,
2021-05-28 06:19:09,411.93,747.49,
2021-05-28 06:19:10,412.42,1111.05,
2021-05-28 06:19:11,410.37,1153.04,
2021-05-28 06:19:12,411.67,1149.24,
2021-05-28 06:19:13,409.54,1149.24,
2021-05-28 06:19:14,405.6,1138.21,
2021-05-28 06:19:15,405.27,1146.16,
2021-05-28 06:19:16,403.54,1146.16,
2021-05-28 06:19:17,405.23,1144.23,
2021-05-28 06:19:18,406.55,1141.62,
2021-05-28 06:19:19,406.37,1142.13,
2021-05-28 06:19:20,401.57,1142.13,
2021-05-28 06:19:22,399.9,1138.47,
2021-05-28 06:19:22,399.2,1144.39,
2021-05-28 06:19:23,396.22,1144.39,
2021-05-28 06:19:24,394.34,1142.73,
2021-05-28 06:19:26,391.32,1143.05,
2021-05-28 06:19:26,390.68,1143.05,
2021-05-28 06:19:27,389.05,1144.16,
2021-05-28 06:19:28,387.35,1142.81,
2021-05-28 06:19:29,386.22,1142.05,
2021-05-28 06:19:30,384.57,1142.05,
2021-05-28 06:19:31,382.25,1142.56,
2021-05-28 06:19:32,380.53,1143.68,
2021-05-28 06:19:33,379.38,1143.68,
2021-05-28 06:19:34,380.02,1142.97,
2021-05-28 06:19:35,377.58,1142.36,
2021-05-28 06:19:36,376.08,1142.36,
2021-05-28 06:19:37,375.15,1144.54,
2021-05-28 06:19:38,373.9,1144.12,
2021-05-28 06:19:39,372.14,1144.51,
2021-05-28 06:19:40,370.28,1144.51,
2021-05-28 06:19:41,368.24,1143.21,
2021-05-28 06:19:43,366.3,1144.2,
2021-05-28 06:19:43,365.32,1144.2,
2021-05-28 06:19:44,364.29,1144.93,
2021-05-28 06:19:45,363.88,1144.78,
2021-05-28 06:19:47,361.12,1144.46,
2021-05-28 06:19:47,360.25,1144.46,
2021-05-28 06:19:48,360.2,1145.75,
2021-05-28 06:19:49,357.35,1145.16,
2021-05-28 06:19:51,356.88,1145.16,
2021-05-28 06:19:51,356.56,1145.96,
2021-05-28 06:19:52,353.97,1145.79,
2021-05-28 06:19:53,353.56,1145.79,
2021-05-28 06:19:54,352.91,1147.15,
2021-05-28 06:19:55,351.12,1145.61,
2021-05-28 06:19:56,349.39,1145.61,
2021-05-28 06:19:57,348.57,1146.58,
2021-05-28 06:19:58,346.09,1146.34,
2021-05-28 06:19:59,344.76,1146.39,
2021-05-28 06:20:00,344.14,1146.39,
2021-05-28 06:20:01,343.67,1146.42,
2021-05-28 06:20:02,342.24,1144.95,
2021-05-28 06:20:04,340.14,1144.95,
2021-05-28 06:20:04,339.24,1145.77,
2021-05-28 06:20:05,337.06,1147.74,
2021-05-28 06:20:06,336.57,1147.74,
2021-05-28 06:20:07,334.71,1146.83,
2021-05-28 06:20:08,333.04,1147.51,
2021-05-28 06:20:09,331.54,1144.11,
2021-05-28 06:20:10,332.08,1144.11,
2021-05-28 06:20:11,330.65,1146.54,
2021-05-28 06:20:13,330.82,1147.22,
2021-05-28 06:20:13,327.88,1147.22,
2021-05-28 06:20:14,326.3,1147.23,
2021-05-28 06:20:15,325.05,1148.33,
2021-05-28 06:20:17,323.88,1141.25,
2021-05-28 06:20:17,323.15,1141.25,
2021-05-28 06:20:18,321.08,1146.46,
2021-05-28 06:20:19,319.4,1147.05,
2021-05-28 06:20:21,318.47,1147.05,
2021-05-28 06:20:21,317.89,1146.84,
2021-05-28 06:20:22,318.39,1146.01,
2021-05-28 06:20:23,316.08,1146.01,
2021-05-28 06:20:25,313.49,1145.23,
2021-05-28 06:20:25,312.66,1146.93,
2021-05-28 06:20:26,312.8,1146.93,
2021-05-28 06:20:27,312.41,1145.59,
2021-05-28 06:20:28,309.84,1146.76,
2021-05-28 06:20:29,308.32,1145.81,
2021-05-28 06:20:30,306.94,1145.81,
2021-05-28 06:20:31,305.9,1144.94,
2021-05-28 06:20:32,304.04,1146.69,
2021-05-28 06:20:34,304.13,1146.69,
2021-05-28 06:20:34,301.6,1145.85,
2021-05-28 06:20:35,302.95,1145.61,
2021-05-28 06:20:36,300.81,1145.61,
2021-05-28 06:20:37,299.55,1145.97,
2021-05-28 06:20:38,298.18,1147.44,
2021-05-28 06:20:39,297.15,1146.04,
2021-05-28 06:20:40,297.08,1146.04,
2021-05-28 06:20:42,295.11,1147.26,
2021-05-28 06:20:42,293.99,1146.45,
2021-05-28 06:20:43,293.78,1146.45,
2021-05-28 06:20:44,292.03,1147.94,
2021-05-28 06:20:45,290.96,1144.75,
2021-05-28 06:20:47,289.49,1144.75,
