Date,Collar,Closure,Flux,NRMSE,PAR
2021-05-06,C1,1,-0.09401298092930116,0.021468185352009804,887.7610447761193
2021-05-06,C1,2,-0.04296743903910263,0.04088162473475315,380.2002985074627
2021-05-06,C1,3,-0.01384211926232834,0.10890333719068379,295.8138686131387
2021-05-06,C1,4,0.017500660667304768,0.11496071316892041,163.22355555555555
2021-05-06,C1,5,0.008001765927790188,0.13108756990510667,
2021-05-06,C1,6,0.04530973684917376,0.03970546903628717,0.8403703703703703
2021-05-06,C2,1,-0.08413149497238086,0.03431533815828241,1211.17584
2021-05-06,C2,2,-0.041797379951528185,0.051356469035082376,731.9814285714285
2021-05-06,C3,1,-0.021811805202904787,0.053068411567859464,583.2402
2021-05-06,C3,2,0.01743774691176017,0.09264823321118634,333.3854744525548
2021-05-06,C3,3,0.04515243600860867,0.07091388278278178,171.77744680851063
2021-05-06,C3,4,0.0683239486531102,0.05373847265350687,85.91496402877696
2021-05-06,C3,5,0.0848148675739224,0.03884519475205206,0.6798571428571428
2021-05-06,C4,1,0.02073058470069105,0.08125977998861299,365.82611940298517
2021-05-06,C4,2,0.043932463540335906,0.0463688451637598,202.71956521739133
2021-05-06,C4,3,0.056720553531358284,0.03720349797553282,132.334776119403
2021-05-06,C4,4,0.06575302115259991,0.042463822919921915,83.36413043478261
2021-05-06,C4,5,0.07599136324224959,0.04586100546990715,0.6843795620437956
2021-05-06,C9,1,-0.09001138882951899,0.026481879117951773,1588.8654477611938
2021-05-06,C9,3,0.047651477596029376,0.04058842726376683,187.12453237410077
2021-05-06,C9,4,0.05219601049764389,0.03950199505497818,109.37033783783782
2021-05-06,C9,5,0.06659364581377962,0.04429591337249924,0.7753676470588236
2021-05-06,C10,1,0.011296251823561561,0.10247074152660669,607.3338020833334
2021-05-06,C10,2,0.03216359983751902,0.05511797590724077,348.8197260273973
2021-05-06,C10,3,0.04773257139727925,0.04398019315800288,185.5917877094972
2021-05-06,C10,4,0.06782803747350864,0.03839163831502004,141.8515671641791
2021-05-06,C10,5,0.06909019383322726,0.037000306446969826,0.841203007518797
2021-05-06,C11,1,-0.08393577603945576,0.06427799876033287,869.1107142857145
2021-05-06,C11,2,0.01222291568227231,0.10098241707461413,292.02768292682924
2021-05-06,C11,3,0.02813483909894901,0.06260342667462583,203.44471014492757
2021-05-06,C11,4,0.05394782724454833,0.04674874032300663,82.52999999999999
2021-05-06,C11,5,0.07988359915865091,0.04306397031367997,0.6481159420289856
2021-05-14,C1,1,-0.31728211659632455,0.02906581185369296,1077.455579710145
2021-05-14,C1,2,-0.13405078882440177,0.051467235702113596,407.70548148148146
2021-05-14,C1,3,0.005128059017020148,0.1904472143722141,360.16262500000005
2021-05-14,C1,4,0.11216034742322425,0.03379539710833414,205.14022388059703
2021-05-14,C1,5,0.27154468388572106,0.028943544949438873,0.512313432835821
2021-05-14,C2,1,-0.3492587443786514,0.034785989668261644,1128.890955882353
2021-05-14,C2,2,-0.16168082502306536,0.049587967915655555,637.5406766917293
2021-05-14,C2,3,-0.014801160347281737,0.17851950732792654,345.5001470588236
2021-05-14,C2,4,0.10524245014088064,0.08074353708444042,195.71175182481753
2021-05-14,C2,5,0.23712628248767756,0.039082426916667544,0.6717037037037038
2021-05-14,C3,1,-0.3560322303548927,0.03832353594011611,1196.131804511278
2021-05-14,C3,2,-0.13359701809846455,0.061184842702222714,648.9108510638297
2021-05-14,C3,3,0.032358477000048465,0.12120463418032684,409.53548611111114
2021-05-14,C3,4,0.12358367075831522,0.05456138249241025,183.4927536231884
2021-05-14,C3,5,0.34529275488822087,0.01860422193392,0.5025925925925926
2021-05-14,C4,1,-0.27290441949048777,0.04861566373759958,1432.6991911764705
2021-05-14,C4,2,-0.061514392525526644,0.112821269812693,843.3538686131387
2021-05-14,C4,3,0.03094380878390122,0.1521826613695348,444.28662068965514
2021-05-14,C4,4,0.11385364449737051,0.0665369975321074,247.00034482758622
2021-05-14,C4,5,0.2510643740888909,0.039132584375308,0.6179710144927536
2021-05-14,C9,1,-0.30115673654881797,0.045439564544029504,1442.9757664233575
2021-05-14,C9,2,-0.0877561687338881,0.08608566961387376,861.5020895522388
2021-05-14,C9,3,0.03815471120914327,0.1527099523233681,539.6829104477613
2021-05-14,C9,4,0.1265156556991285,0.061371279849850656,273.5144360902256
2021-05-14,C9,5,0.31095773086540257,0.03344420449504372,0.5534265734265733
2021-05-14,C10,1,-0.24185687149460308,0.050086073064168506,1473.9097014925376
2021-05-14,C10,2,-0.06858449669079174,0.14973269198151137,738.2042537313433
2021-05-14,C10,3,0.04738195551113649,0.10959649892063127,411.700985915493
2021-05-14,C10,4,0.17562647879080695,0.04238921181878299,155.53066666666663
2021-05-14,C10,5,0.2883737689773059,0.028754558080412867,0.5540298507462688
2021-05-14,C11,1,-0.26040256248153865,0.038136744285948064,1367.1046357615896
2021-05-14,C11,2,-0.07147652299937915,0.13599570105913256,690.3507352941176
2021-05-14,C11,3,-0.018369527313724737,0.20253391475128427,465.2458208955224
2021-05-14,C11,4,0.09167951450996664,0.07008815066375582,234.99588235294118
2021-05-14,C11,5,0.2593308903601563,0.03769903339018319,0.6357777777777779
2021-05-14,C12,1,-0.28279189320931325,0.0424966096651737,1428.507894736842
2021-05-14,C12,2,-0.03049264903583158,0.12496014077947074,767.0392753623189
2021-05-14,C12,3,0.10902547234832889,0.054000482507061597,437.1501875
2021-05-14,C12,4,0.22435092683124125,0.021457300676863567,309.6961764705883
2021-05-14,C12,5,0.41992490335372556,0.020874008432221418,0.5138129496402878
